slug,library_formula,formula_rendered_before_fix
derivative-of-e-minus-to-minus-the-minus-3x-minus-plus-minus-x-minus-to-minus-the-minus-2,"e^(3*x)+x^2","e-to-the-3x-+-x-to-the-2"
derivative-of-sin3x-minus-plus-minus-cos3x,"sin(3*x)+cos(3*x)","sin(3x)-+-cos(3x)"
derivative-of-e-minus-to-minus-the-minus-3x-minus-plus-minus-x-minus-to-minus-the-minus-3,"e^(3*x)+x^3","e-to-the-3x-+-x-to-the-3"
derivative-of-sin3x-minus-plus-minus-cos4x,"sin(3*x)+cos(4*x)","sin(3x)-+-cos(4x)"
derivative-of-e-minus-to-minus-the-minus-3x-minus-plus-minus-x-minus-to-minus-the-minus-4,"e^(3*x)+x^4","e-to-the-3x-+-x-to-the-4"
derivative-of-sin3x-minus-plus-minus-cos5x,"sin(3*x)+cos(5*x)","sin(3x)-+-cos(5x)"
derivative-of-e-minus-to-minus-the-minus-3x-minus-plus-minus-x-minus-to-minus-the-minus-5,"e^(3*x)+x^5","e-to-the-3x-+-x-to-the-5"
derivative-of-sin4x-minus-plus-minus-cos2x,"sin(4*x)+cos(2*x)","sin(4x)-+-cos(2x)"
derivative-of-e-minus-to-minus-the-minus-4x-minus-plus-minus-x-minus-to-minus-the-minus-2,"e^(4*x)+x^2","e-to-the-4x-+-x-to-the-2"
derivative-of-sin4x-minus-plus-minus-cos3x,"sin(4*x)+cos(3*x)","sin(4x)-+-cos(3x)"
derivative-of-e-minus-to-minus-the-minus-4x-minus-plus-minus-x-minus-to-minus-the-minus-3,"e^(4*x)+x^3","e-to-the-4x-+-x-to-the-3"
derivative-of-sin4x-minus-plus-minus-cos4x,"sin(4*x)+cos(4*x)","sin(4x)-+-cos(4x)"
derivative-of-e-minus-to-minus-the-minus-4x-minus-plus-minus-x-minus-to-minus-the-minus-4,"e^(4*x)+x^4","e-to-the-4x-+-x-to-the-4"
derivative-of-sin4x-minus-plus-minus-cos5x,"sin(4*x)+cos(5*x)","sin(4x)-+-cos(5x)"
derivative-of-e-minus-to-minus-the-minus-4x-minus-plus-minus-x-minus-to-minus-the-minus-5,"e^(4*x)+x^5","e-to-the-4x-+-x-to-the-5"
derivative-of-sin5x-minus-plus-minus-cos2x,"sin(5*x)+cos(2*x)","sin(5x)-+-cos(2x)"
derivative-of-e-minus-to-minus-the-minus-5x-minus-plus-minus-x-minus-to-minus-the-minus-2,"e^(5*x)+x^2","e-to-the-5x-+-x-to-the-2"
derivative-of-sin5x-minus-plus-minus-cos3x,"sin(5*x)+cos(3*x)","sin(5x)-+-cos(3x)"
derivative-of-e-minus-to-minus-the-minus-5x-minus-plus-minus-x-minus-to-minus-the-minus-3,"e^(5*x)+x^3","e-to-the-5x-+-x-to-the-3"
derivative-of-sin5x-minus-plus-minus-cos4x,"sin(5*x)+cos(4*x)","sin(5x)-+-cos(4x)"
derivative-of-e-minus-to-minus-the-minus-5x-minus-plus-minus-x-minus-to-minus-the-minus-4,"e^(5*x)+x^4","e-to-the-5x-+-x-to-the-4"
derivative-of-sin5x-minus-plus-minus-cos5x,"sin(5*x)+cos(5*x)","sin(5x)-+-cos(5x)"
derivative-of-e-minus-to-minus-the-minus-5x-minus-plus-minus-x-minus-to-minus-the-minus-5,"e^(5*x)+x^5","e-to-the-5x-+-x-to-the-5"
derivative-of-sin6x-minus-plus-minus-cos2x,"sin(6*x)+cos(2*x)","sin(6x)-+-cos(2x)"
derivative-of-e-minus-to-minus-the-minus-6x-minus-plus-minus-x-minus-to-minus-the-minus-2,"e^(6*x)+x^2","e-to-the-6x-+-x-to-the-2"
derivative-of-sin6x-minus-plus-minus-cos3x,"sin(6*x)+cos(3*x)","sin(6x)-+-cos(3x)"
derivative-of-e-minus-to-minus-the-minus-6x-minus-plus-minus-x-minus-to-minus-the-minus-3,"e^(6*x)+x^3","e-to-the-6x-+-x-to-the-3"
derivative-of-sin6x-minus-plus-minus-cos4x,"sin(6*x)+cos(4*x)","sin(6x)-+-cos(4x)"
derivative-of-e-minus-to-minus-the-minus-6x-minus-plus-minus-x-minus-to-minus-the-minus-4,"e^(6*x)+x^4","e-to-the-6x-+-x-to-the-4"
derivative-of-sin6x-minus-plus-minus-cos5x,"sin(6*x)+cos(5*x)","sin(6x)-+-cos(5x)"
derivative-of-e-minus-to-minus-the-minus-6x-minus-plus-minus-x-minus-to-minus-the-minus-5,"e^(6*x)+x^5","e-to-the-6x-+-x-to-the-5"
derivative-of-sin7x-minus-plus-minus-cos2x,"sin(7*x)+cos(2*x)","sin(7x)-+-cos(2x)"
derivative-of-e-minus-to-minus-the-minus-7x-minus-plus-minus-x-minus-to-minus-the-minus-2,"e^(7*x)+x^2","e-to-the-7x-+-x-to-the-2"
derivative-of-sin7x-minus-plus-minus-cos3x,"sin(7*x)+cos(3*x)","sin(7x)-+-cos(3x)"
derivative-of-e-minus-to-minus-the-minus-7x-minus-plus-minus-x-minus-to-minus-the-minus-3,"e^(7*x)+x^3","e-to-the-7x-+-x-to-the-3"
derivative-of-sin7x-minus-plus-minus-cos4x,"sin(7*x)+cos(4*x)","sin(7x)-+-cos(4x)"
derivative-of-e-minus-to-minus-the-minus-7x-minus-plus-minus-x-minus-to-minus-the-minus-4,"e^(7*x)+x^4","e-to-the-7x-+-x-to-the-4"
derivative-of-sin7x-minus-plus-minus-cos5x,"sin(7*x)+cos(5*x)","sin(7x)-+-cos(5x)"
derivative-of-e-minus-to-minus-the-minus-7x-minus-plus-minus-x-minus-to-minus-the-minus-5,"e^(7*x)+x^5","e-to-the-7x-+-x-to-the-5"
derivative-of-sin8x-minus-plus-minus-cos2x,"sin(8*x)+cos(2*x)","sin(8x)-+-cos(2x)"
derivative-of-e-minus-to-minus-the-minus-8x-minus-plus-minus-x-minus-to-minus-the-minus-2,"e^(8*x)+x^2","e-to-the-8x-+-x-to-the-2"
derivative-of-sin8x-minus-plus-minus-cos3x,"sin(8*x)+cos(3*x)","sin(8x)-+-cos(3x)"
derivative-of-e-minus-to-minus-the-minus-8x-minus-plus-minus-x-minus-to-minus-the-minus-3,"e^(8*x)+x^3","e-to-the-8x-+-x-to-the-3"
derivative-of-sin8x-minus-plus-minus-cos4x,"sin(8*x)+cos(4*x)","sin(8x)-+-cos(4x)"
derivative-of-e-minus-to-minus-the-minus-8x-minus-plus-minus-x-minus-to-minus-the-minus-4,"e^(8*x)+x^4","e-to-the-8x-+-x-to-the-4"
derivative-of-sin8x-minus-plus-minus-cos5x,"sin(8*x)+cos(5*x)","sin(8x)-+-cos(5x)"
derivative-of-e-minus-to-minus-the-minus-8x-minus-plus-minus-x-minus-to-minus-the-minus-5,"e^(8*x)+x^5","e-to-the-8x-+-x-to-the-5"
derivative-of-sin9x-minus-plus-minus-cos2x,"sin(9*x)+cos(2*x)","sin(9x)-+-cos(2x)"
derivative-of-e-minus-to-minus-the-minus-9x-minus-plus-minus-x-minus-to-minus-the-minus-2,"e^(9*x)+x^2","e-to-the-9x-+-x-to-the-2"
derivative-of-sin9x-minus-plus-minus-cos3x,"sin(9*x)+cos(3*x)","sin(9x)-+-cos(3x)"
derivative-of-e-minus-to-minus-the-minus-9x-minus-plus-minus-x-minus-to-minus-the-minus-3,"e^(9*x)+x^3","e-to-the-9x-+-x-to-the-3"
derivative-of-sin9x-minus-plus-minus-cos4x,"sin(9*x)+cos(4*x)","sin(9x)-+-cos(4x)"
derivative-of-e-minus-to-minus-the-minus-9x-minus-plus-minus-x-minus-to-minus-the-minus-4,"e^(9*x)+x^4","e-to-the-9x-+-x-to-the-4"
derivative-of-sin9x-minus-plus-minus-cos5x,"sin(9*x)+cos(5*x)","sin(9x)-+-cos(5x)"
derivative-of-e-minus-to-minus-the-minus-9x-minus-plus-minus-x-minus-to-minus-the-minus-5,"e^(9*x)+x^5","e-to-the-9x-+-x-to-the-5"
derivative-of-sin10x-minus-plus-minus-cos2x,"sin(10*x)+cos(2*x)","sin(10x)-+-cos(2x)"
derivative-of-e-minus-to-minus-the-minus-10x-minus-plus-minus-x-minus-to-minus-the-minus-2,"e^(10*x)+x^2","e-to-the-10x-+-x-to-the-2"
derivative-of-sin10x-minus-plus-minus-cos3x,"sin(10*x)+cos(3*x)","sin(10x)-+-cos(3x)"
derivative-of-e-minus-to-minus-the-minus-10x-minus-plus-minus-x-minus-to-minus-the-minus-3,"e^(10*x)+x^3","e-to-the-10x-+-x-to-the-3"
derivative-of-sin10x-minus-plus-minus-cos4x,"sin(10*x)+cos(4*x)","sin(10x)-+-cos(4x)"
derivative-of-e-minus-to-minus-the-minus-10x-minus-plus-minus-x-minus-to-minus-the-minus-4,"e^(10*x)+x^4","e-to-the-10x-+-x-to-the-4"
derivative-of-sin10x-minus-plus-minus-cos5x,"sin(10*x)+cos(5*x)","sin(10x)-+-cos(5x)"
derivative-of-e-minus-to-minus-the-minus-10x-minus-plus-minus-x-minus-to-minus-the-minus-5,"e^(10*x)+x^5","e-to-the-10x-+-x-to-the-5"
derivative-of-e-minus-to-minus-the-minus-2xsin2x,"e^(2*x)*sin(2*x)","e-to-the-2xsin^2x"
derivative-of-e-minus-to-minus-the-minus-2xcos2x,"e^(2*x)*cos(2*x)","e-to-the-2xcos^2x"
derivative-of-e-minus-to-minus-the-minus-2xsin3x,"e^(2*x)*sin(3*x)","e-to-the-2xsin^3x"
derivative-of-e-minus-to-minus-the-minus-2xcos3x,"e^(2*x)*cos(3*x)","e-to-the-2xcos^3x"
derivative-of-e-minus-to-minus-the-minus-2xsin4x,"e^(2*x)*sin(4*x)","e-to-the-2xsin^4x"
derivative-of-e-minus-to-minus-the-minus-2xcos4x,"e^(2*x)*cos(4*x)","e-to-the-2xcos^4x"
derivative-of-e-minus-to-minus-the-minus-2xsin5x,"e^(2*x)*sin(5*x)","e-to-the-2xsin^5x"
derivative-of-e-minus-to-minus-the-minus-2xcos5x,"e^(2*x)*cos(5*x)","e-to-the-2xcos^5x"
derivative-of-e-minus-to-minus-the-minus-3xsin2x,"e^(3*x)*sin(2*x)","e-to-the-3xsin^2x"
derivative-of-e-minus-to-minus-the-minus-3xcos2x,"e^(3*x)*cos(2*x)","e-to-the-3xcos^2x"
derivative-of-e-minus-to-minus-the-minus-3xsin3x,"e^(3*x)*sin(3*x)","e-to-the-3xsin^3x"
derivative-of-e-minus-to-minus-the-minus-3xcos3x,"e^(3*x)*cos(3*x)","e-to-the-3xcos^3x"
derivative-of-e-minus-to-minus-the-minus-3xsin4x,"e^(3*x)*sin(4*x)","e-to-the-3xsin^4x"
derivative-of-e-minus-to-minus-the-minus-3xcos4x,"e^(3*x)*cos(4*x)","e-to-the-3xcos^4x"
derivative-of-e-minus-to-minus-the-minus-3xsin5x,"e^(3*x)*sin(5*x)","e-to-the-3xsin^5x"
derivative-of-e-minus-to-minus-the-minus-3xcos5x,"e^(3*x)*cos(5*x)","e-to-the-3xcos^5x"
derivative-of-e-minus-to-minus-the-minus-4xsin2x,"e^(4*x)*sin(2*x)","e-to-the-4xsin^2x"
derivative-of-e-minus-to-minus-the-minus-4xcos2x,"e^(4*x)*cos(2*x)","e-to-the-4xcos^2x"
derivative-of-e-minus-to-minus-the-minus-4xsin3x,"e^(4*x)*sin(3*x)","e-to-the-4xsin^3x"
derivative-of-e-minus-to-minus-the-minus-4xcos3x,"e^(4*x)*cos(3*x)","e-to-the-4xcos^3x"
derivative-of-e-minus-to-minus-the-minus-4xsin4x,"e^(4*x)*sin(4*x)","e-to-the-4xsin^4x"
derivative-of-e-minus-to-minus-the-minus-4xcos4x,"e^(4*x)*cos(4*x)","e-to-the-4xcos^4x"
derivative-of-e-minus-to-minus-the-minus-4xsin5x,"e^(4*x)*sin(5*x)","e-to-the-4xsin^5x"
derivative-of-e-minus-to-minus-the-minus-4xcos5x,"e^(4*x)*cos(5*x)","e-to-the-4xcos^5x"
derivative-of-e-minus-to-minus-the-minus-5xsin2x,"e^(5*x)*sin(2*x)","e-to-the-5xsin^2x"
derivative-of-e-minus-to-minus-the-minus-5xcos2x,"e^(5*x)*cos(2*x)","e-to-the-5xcos^2x"
derivative-of-e-minus-to-minus-the-minus-5xsin3x,"e^(5*x)*sin(3*x)","e-to-the-5xsin^3x"
derivative-of-e-minus-to-minus-the-minus-5xcos3x,"e^(5*x)*cos(3*x)","e-to-the-5xcos^3x"
derivative-of-e-minus-to-minus-the-minus-5xsin4x,"e^(5*x)*sin(4*x)","e-to-the-5xsin^4x"
derivative-of-e-minus-to-minus-the-minus-5xcos4x,"e^(5*x)*cos(4*x)","e-to-the-5xcos^4x"
derivative-of-e-minus-to-minus-the-minus-5xsin5x,"e^(5*x)*sin(5*x)","e-to-the-5xsin^5x"
derivative-of-e-minus-to-minus-the-minus-5xcos5x,"e^(5*x)*cos(5*x)","e-to-the-5xcos^5x"
derivative-of-e-minus-to-minus-the-minus-6xsin2x,"e^(6*x)*sin(2*x)","e-to-the-6xsin^2x"
derivative-of-e-minus-to-minus-the-minus-6xcos2x,"e^(6*x)*cos(2*x)","e-to-the-6xcos^2x"
derivative-of-e-minus-to-minus-the-minus-6xsin3x,"e^(6*x)*sin(3*x)","e-to-the-6xsin^3x"
derivative-of-e-minus-to-minus-the-minus-6xcos3x,"e^(6*x)*cos(3*x)","e-to-the-6xcos^3x"
derivative-of-e-minus-to-minus-the-minus-6xsin4x,"e^(6*x)*sin(4*x)","e-to-the-6xsin^4x"
derivative-of-e-minus-to-minus-the-minus-6xcos4x,"e^(6*x)*cos(4*x)","e-to-the-6xcos^4x"
derivative-of-e-minus-to-minus-the-minus-6xsin5x,"e^(6*x)*sin(5*x)","e-to-the-6xsin^5x"
derivative-of-e-minus-to-minus-the-minus-6xcos5x,"e^(6*x)*cos(5*x)","e-to-the-6xcos^5x"
derivative-of-e-minus-to-minus-the-minus-7xsin2x,"e^(7*x)*sin(2*x)","e-to-the-7xsin^2x"
derivative-of-e-minus-to-minus-the-minus-7xcos2x,"e^(7*x)*cos(2*x)","e-to-the-7xcos^2x"
derivative-of-e-minus-to-minus-the-minus-7xsin3x,"e^(7*x)*sin(3*x)","e-to-the-7xsin^3x"
derivative-of-e-minus-to-minus-the-minus-7xcos3x,"e^(7*x)*cos(3*x)","e-to-the-7xcos^3x"
derivative-of-e-minus-to-minus-the-minus-7xsin4x,"e^(7*x)*sin(4*x)","e-to-the-7xsin^4x"
derivative-of-e-minus-to-minus-the-minus-7xcos4x,"e^(7*x)*cos(4*x)","e-to-the-7xcos^4x"
derivative-of-e-minus-to-minus-the-minus-7xsin5x,"e^(7*x)*sin(5*x)","e-to-the-7xsin^5x"
derivative-of-e-minus-to-minus-the-minus-7xcos5x,"e^(7*x)*cos(5*x)","e-to-the-7xcos^5x"
derivative-of-sinx-minus-to-minus-the-minus-2,"sin(x^2)","sin(x)-to-the-2"
derivative-of-cosx-minus-to-minus-the-minus-2,"cos(x^2)","cos(x)-to-the-2"
derivative-of-e-minus-to-minus-the-minus-x-minus-to-minus-the-minus-2,"e^(x^2)","e-to-the-x-to-the-2"
derivative-of-lnx-minus-to-minus-the-minus-2,"ln(x^2)","ln(x)-to-the-2"
derivative-of-sinx-minus-to-minus-the-minus-3,"sin(x^3)","sin(x)-to-the-3"
derivative-of-cosx-minus-to-minus-the-minus-3,"cos(x^3)","cos(x)-to-the-3"
derivative-of-e-minus-to-minus-the-minus-x-minus-to-minus-the-minus-3,"e^(x^3)","e-to-the-x-to-the-3"
derivative-of-lnx-minus-to-minus-the-minus-3,"ln(x^3)","ln(x)-to-the-3"
derivative-of-sinx-minus-to-minus-the-minus-4,"sin(x^4)","sin(x)-to-the-4"
derivative-of-cosx-minus-to-minus-the-minus-4,"cos(x^4)","cos(x)-to-the-4"
derivative-of-e-minus-to-minus-the-minus-x-minus-to-minus-the-minus-4,"e^(x^4)","e-to-the-x-to-the-4"
derivative-of-lnx-minus-to-minus-the-minus-4,"ln(x^4)","ln(x)-to-the-4"
derivative-of-sinx-minus-to-minus-the-minus-5,"sin(x^5)","sin(x)-to-the-5"
derivative-of-cosx-minus-to-minus-the-minus-5,"cos(x^5)","cos(x)-to-the-5"
derivative-of-e-minus-to-minus-the-minus-x-minus-to-minus-the-minus-5,"e^(x^5)","e-to-the-x-to-the-5"
derivative-of-lnx-minus-to-minus-the-minus-5,"ln(x^5)","ln(x)-to-the-5"
derivative-of-sinx-minus-to-minus-the-minus-6,"sin(x^6)","sin(x)-to-the-6"
derivative-of-cosx-minus-to-minus-the-minus-6,"cos(x^6)","cos(x)-to-the-6"
derivative-of-e-minus-to-minus-the-minus-x-minus-to-minus-the-minus-6,"e^(x^6)","e-to-the-x-to-the-6"
derivative-of-lnx-minus-to-minus-the-minus-6,"ln(x^6)","ln(x)-to-the-6"
derivative-of-sinx-minus-to-minus-the-minus-7,"sin(x^7)","sin(x)-to-the-7"
derivative-of-cosx-minus-to-minus-the-minus-7,"cos(x^7)","cos(x)-to-the-7"
derivative-of-e-minus-to-minus-the-minus-x-minus-to-minus-the-minus-7,"e^(x^7)","e-to-the-x-to-the-7"
derivative-of-lnx-minus-to-minus-the-minus-7,"ln(x^7)","ln(x)-to-the-7"
derivative-of-sinx-minus-to-minus-the-minus-8,"sin(x^8)","sin(x)-to-the-8"
derivative-of-cosx-minus-to-minus-the-minus-8,"cos(x^8)","cos(x)-to-the-8"
derivative-of-e-minus-to-minus-the-minus-x-minus-to-minus-the-minus-8,"e^(x^8)","e-to-the-x-to-the-8"
derivative-of-lnx-minus-to-minus-the-minus-8,"ln(x^8)","ln(x)-to-the-8"
derivative-of-sinx-minus-to-minus-the-minus-9,"sin(x^9)","sin(x)-to-the-9"
derivative-of-cosx-minus-to-minus-the-minus-9,"cos(x^9)","cos(x)-to-the-9"
derivative-of-e-minus-to-minus-the-minus-x-minus-to-minus-the-minus-9,"e^(x^9)","e-to-the-x-to-the-9"
derivative-of-lnx-minus-to-minus-the-minus-9,"ln(x^9)","ln(x)-to-the-9"
derivative-of-sinx-minus-to-minus-the-minus-10,"sin(x^10)","sin(x)-to-the-10"
derivative-of-cosx-minus-to-minus-the-minus-10,"cos(x^10)","cos(x)-to-the-10"
derivative-of-e-minus-to-minus-the-minus-x-minus-to-minus-the-minus-10,"e^(x^10)","e-to-the-x-to-the-10"
derivative-of-lnx-minus-to-minus-the-minus-10,"ln(x^10)","ln(x)-to-the-10"
derivative-of-lnsinx,"ln(sin(x))","ln(sinx)"
derivative-of-lncosx,"ln(cos(x))","ln(cosx)"
derivative-of-lntanx,"ln(tan(x))","ln(tanx)"
derivative-of-e-minus-to-minus-the-minus-sinx,"e^(sin(x))","e-to-the-sin(x)"
derivative-of-e-minus-to-minus-the-minus-cosx,"e^(cos(x))","e-to-the-cos(x)"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-x-minus-to-minus-the-minus-2,"x^3+x^2","x-to-the-3-+-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-3-minus-x-minus-to-minus-the-minus-2,"x^3-x^2","x-to-the-3-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-4-minus-plus-minus-x-minus-to-minus-the-minus-2,"x^4+x^2","x-to-the-4-+-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-4-minus-x-minus-to-minus-the-minus-2,"x^4-x^2","x-to-the-4-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-4-minus-plus-minus-x-minus-to-minus-the-minus-3,"x^4+x^3","x-to-the-4-+-x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-4-minus-x-minus-to-minus-the-minus-3,"x^4-x^3","x-to-the-4-x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-5-minus-plus-minus-x-minus-to-minus-the-minus-2,"x^5+x^2","x-to-the-5-+-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-5-minus-x-minus-to-minus-the-minus-2,"x^5-x^2","x-to-the-5-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-5-minus-plus-minus-x-minus-to-minus-the-minus-3,"x^5+x^3","x-to-the-5-+-x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-5-minus-x-minus-to-minus-the-minus-3,"x^5-x^3","x-to-the-5-x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-5-minus-plus-minus-x-minus-to-minus-the-minus-4,"x^5+x^4","x-to-the-5-+-x-to-the-4"
derivative-of-x-minus-to-minus-the-minus-5-minus-x-minus-to-minus-the-minus-4,"x^5-x^4","x-to-the-5-x-to-the-4"
derivative-of-x-minus-to-minus-the-minus-6-minus-plus-minus-x-minus-to-minus-the-minus-2,"x^6+x^2","x-to-the-6-+-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-6-minus-x-minus-to-minus-the-minus-2,"x^6-x^2","x-to-the-6-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-6-minus-plus-minus-x-minus-to-minus-the-minus-3,"x^6+x^3","x-to-the-6-+-x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-6-minus-x-minus-to-minus-the-minus-3,"x^6-x^3","x-to-the-6-x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-6-minus-plus-minus-x-minus-to-minus-the-minus-4,"x^6+x^4","x-to-the-6-+-x-to-the-4"
derivative-of-x-minus-to-minus-the-minus-6-minus-x-minus-to-minus-the-minus-4,"x^6-x^4","x-to-the-6-x-to-the-4"
derivative-of-x-minus-to-minus-the-minus-6-minus-plus-minus-x-minus-to-minus-the-minus-5,"x^6+x^5","x-to-the-6-+-x-to-the-5"
derivative-of-x-minus-to-minus-the-minus-6-minus-x-minus-to-minus-the-minus-5,"x^6-x^5","x-to-the-6-x-to-the-5"
derivative-of-x-minus-to-minus-the-minus-7-minus-plus-minus-x-minus-to-minus-the-minus-2,"x^7+x^2","x-to-the-7-+-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-7-minus-x-minus-to-minus-the-minus-2,"x^7-x^2","x-to-the-7-x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-7-minus-plus-minus-x-minus-to-minus-the-minus-3,"x^7+x^3","x-to-the-7-+-x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-7-minus-x-minus-to-minus-the-minus-3,"x^7-x^3","x-to-the-7-x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-7-minus-plus-minus-x-minus-to-minus-the-minus-4,"x^7+x^4","x-to-the-7-+-x-to-the-4"
derivative-of-x-minus-to-minus-the-minus-7-minus-x-minus-to-minus-the-minus-4,"x^7-x^4","x-to-the-7-x-to-the-4"
derivative-of-x-minus-to-minus-the-minus-7-minus-plus-minus-x-minus-to-minus-the-minus-5,"x^7+x^5","x-to-the-7-+-x-to-the-5"
derivative-of-x-minus-to-minus-the-minus-7-minus-x-minus-to-minus-the-minus-5,"x^7-x^5","x-to-the-7-x-to-the-5"
derivative-of-x-minus-to-minus-the-minus-7-minus-plus-minus-x-minus-to-minus-the-minus-6,"x^7+x^6","x-to-the-7-+-x-to-the-6"
derivative-of-x-minus-to-minus-the-minus-7-minus-x-minus-to-minus-the-minus-6,"x^7-x^6","x-to-the-7-x-to-the-6"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-1,"x/(x^2+1)","(x-)/(-x-to-the-2-+-1)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-1-minus-plus-minus-1,"1/(x^1+1)","(1-)/(-x-to-the-1-+-1)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-4-minus-plus-minus-1,"x/(x^4+1)","(x-)/(-x-to-the-4-+-1)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-1,"1/(x^2+1)","(1-)/(-x-to-the-2-+-1)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-6-minus-plus-minus-1,"x/(x^6+1)","(x-)/(-x-to-the-6-+-1)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-3-minus-plus-minus-1,"1/(x^3+1)","(1-)/(-x-to-the-3-+-1)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-8-minus-plus-minus-1,"x/(x^8+1)","(x-)/(-x-to-the-8-+-1)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-4-minus-plus-minus-1,"1/(x^4+1)","(1-)/(-x-to-the-4-+-1)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-10-minus-plus-minus-1,"x/(x^10+1)","(x-)/(-x-to-the-10-+-1)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-5-minus-plus-minus-1,"1/(x^5+1)","(1-)/(-x-to-the-5-+-1)"
derivative-of-x-minus-to-minus-the-minus-2asinx,"x^2*asin(x)","x-to-the-2asinx"
derivative-of-x-minus-to-minus-the-minus-2atanx,"x^2*atan(x)","x-to-the-2atanx"
derivative-of-x-minus-to-minus-the-minus-2sinhx,"x^2*sinh(x)","x-to-the-2sinhx"
derivative-of-x-minus-to-minus-the-minus-2coshx,"x^2*cosh(x)","x-to-the-2coshx"
derivative-of-x-minus-to-minus-the-minus-3asinx,"x^3*asin(x)","x-to-the-3asinx"
derivative-of-x-minus-to-minus-the-minus-3atanx,"x^3*atan(x)","x-to-the-3atanx"
derivative-of-x-minus-to-minus-the-minus-3sinhx,"x^3*sinh(x)","x-to-the-3sinhx"
derivative-of-x-minus-to-minus-the-minus-3coshx,"x^3*cosh(x)","x-to-the-3coshx"
derivative-of-x-minus-to-minus-the-minus-4asinx,"x^4*asin(x)","x-to-the-4asinx"
derivative-of-x-minus-to-minus-the-minus-4atanx,"x^4*atan(x)","x-to-the-4atanx"
derivative-of-x-minus-to-minus-the-minus-4sinhx,"x^4*sinh(x)","x-to-the-4sinhx"
derivative-of-x-minus-to-minus-the-minus-4coshx,"x^4*cosh(x)","x-to-the-4coshx"
derivative-of-x-minus-to-minus-the-minus-5asinx,"x^5*asin(x)","x-to-the-5asinx"
derivative-of-x-minus-to-minus-the-minus-5atanx,"x^5*atan(x)","x-to-the-5atanx"
derivative-of-x-minus-to-minus-the-minus-5sinhx,"x^5*sinh(x)","x-to-the-5sinhx"
derivative-of-x-minus-to-minus-the-minus-5coshx,"x^5*cosh(x)","x-to-the-5coshx"
derivative-of-x-minus-to-minus-the-minus-6asinx,"x^6*asin(x)","x-to-the-6asinx"
derivative-of-x-minus-to-minus-the-minus-6atanx,"x^6*atan(x)","x-to-the-6atanx"
derivative-of-x-minus-to-minus-the-minus-6sinhx,"x^6*sinh(x)","x-to-the-6sinhx"
derivative-of-x-minus-to-minus-the-minus-6coshx,"x^6*cosh(x)","x-to-the-6coshx"
derivative-of-x-minus-to-minus-the-minus-7asinx,"x^7*asin(x)","x-to-the-7asinx"
derivative-of-x-minus-to-minus-the-minus-7atanx,"x^7*atan(x)","x-to-the-7atanx"
derivative-of-x-minus-to-minus-the-minus-7sinhx,"x^7*sinh(x)","x-to-the-7sinhx"
derivative-of-x-minus-to-minus-the-minus-7coshx,"x^7*cosh(x)","x-to-the-7coshx"
derivative-of-x-minus-to-minus-the-minus-8asinx,"x^8*asin(x)","x-to-the-8asinx"
derivative-of-x-minus-to-minus-the-minus-8atanx,"x^8*atan(x)","x-to-the-8atanx"
derivative-of-x-minus-to-minus-the-minus-8sinhx,"x^8*sinh(x)","x-to-the-8sinhx"
derivative-of-x-minus-to-minus-the-minus-8coshx,"x^8*cosh(x)","x-to-the-8coshx"
derivative-of-x-minus-to-minus-the-minus-9asinx,"x^9*asin(x)","x-to-the-9asinx"
derivative-of-x-minus-to-minus-the-minus-9atanx,"x^9*atan(x)","x-to-the-9atanx"
derivative-of-x-minus-to-minus-the-minus-9sinhx,"x^9*sinh(x)","x-to-the-9sinhx"
derivative-of-x-minus-to-minus-the-minus-9coshx,"x^9*cosh(x)","x-to-the-9coshx"
derivative-of-x-minus-to-minus-the-minus-10asinx,"x^10*asin(x)","x-to-the-10asinx"
